review_id,review_text,positive
1,Excellent quality and very easy to use compared with alternatives,1
2,Fast delivery and the product works perfectly for my needs,1
3,I am satisfied and would recommend this product,1
4,Support was unhelpful and the experience was frustrating for my needs,0
5,Fast delivery and the product works perfectly compared with alternatives,1
6,Helpful support and a smooth experience compared with alternatives,1
7,Excellent quality and very easy to use,1
8,Not worth the price and difficult to use overall,0
9,Poor quality and stopped working quickly for my needs,0
10,Support was unhelpful and the experience was frustrating overall,0
11,Delivery was late and the item was damaged overall,0
12,Fast delivery and the product works perfectly for my needs,1
13,Helpful support and a smooth experience compared with alternatives,1
14,Not worth the price and difficult to use,0
15,"Great value, reliable and well designed overall",1
16,Fast delivery and the product works perfectly overall,1
17,I am disappointed and would not recommend it,0
18,Helpful support and a smooth experience,1
19,Excellent quality and very easy to use,1
20,"Great value, reliable and well designed compared with alternatives",1
21,Excellent quality and very easy to use compared with alternatives,1
22,Poor quality and stopped working quickly overall,0
23,Delivery was late and the item was damaged overall,0
24,Fast delivery and the product works perfectly for my needs,1
25,Poor quality and stopped working quickly compared with alternatives,0
26,Support was unhelpful and the experience was frustrating overall,0
27,Excellent quality and very easy to use after one month,1
28,"Great value, reliable and well designed after one month",1
29,"Great value, reliable and well designed compared with alternatives",1
30,Helpful support and a smooth experience overall,1
31,Poor quality and stopped working quickly after one month,0
32,Poor quality and stopped working quickly compared with alternatives,0
33,Support was unhelpful and the experience was frustrating overall,0
34,"Great value, reliable and well designed for my needs",1
35,Not worth the price and difficult to use compared with alternatives,0
36,Not worth the price and difficult to use compared with alternatives,0
37,Support was unhelpful and the experience was frustrating after one month,0
38,I am satisfied and would recommend this product after one month,1
39,Fast delivery and the product works perfectly overall,1
40,Fast delivery and the product works perfectly after one month,1
41,Delivery was late and the item was damaged after one month,0
42,Fast delivery and the product works perfectly after one month,1
43,Delivery was late and the item was damaged for my needs,0
44,Fast delivery and the product works perfectly for my needs,1
45,Fast delivery and the product works perfectly for my needs,1
46,Fast delivery and the product works perfectly overall,1
47,I am satisfied and would recommend this product for my needs,1
48,Not worth the price and difficult to use compared with alternatives,0
49,"Great value, reliable and well designed after one month",1
50,Poor quality and stopped working quickly after one month,0
51,Support was unhelpful and the experience was frustrating compared with alternatives,0
52,Helpful support and a smooth experience after one month,1
53,I am disappointed and would not recommend it overall,0
54,Fast delivery and the product works perfectly compared with alternatives,1
55,"Great value, reliable and well designed compared with alternatives",1
56,Not worth the price and difficult to use compared with alternatives,0
57,Excellent quality and very easy to use,1
58,I am satisfied and would recommend this product for my needs,1
59,Poor quality and stopped working quickly,0
60,Fast delivery and the product works perfectly overall,1
61,Helpful support and a smooth experience,1
62,Fast delivery and the product works perfectly after one month,1
63,Excellent quality and very easy to use overall,1
64,Poor quality and stopped working quickly overall,0
65,I am satisfied and would recommend this product,1
66,Fast delivery and the product works perfectly for my needs,1
67,"Great value, reliable and well designed for my needs",1
68,I am satisfied and would recommend this product overall,1
69,Not worth the price and difficult to use after one month,0
70,Poor quality and stopped working quickly,0
71,Fast delivery and the product works perfectly after one month,1
72,I am satisfied and would recommend this product,1
73,Poor quality and stopped working quickly for my needs,0
74,Excellent quality and very easy to use for my needs,1
75,Not worth the price and difficult to use,0
76,Excellent quality and very easy to use for my needs,1
77,Delivery was late and the item was damaged after one month,0
78,Fast delivery and the product works perfectly overall,1
79,Helpful support and a smooth experience for my needs,1
80,"Great value, reliable and well designed compared with alternatives",1
81,Delivery was late and the item was damaged for my needs,0
82,Fast delivery and the product works perfectly,1
83,Not worth the price and difficult to use,0
84,"Great value, reliable and well designed after one month",1
85,Poor quality and stopped working quickly,0
86,I am satisfied and would recommend this product overall,1
87,"Great value, reliable and well designed",1
88,Not worth the price and difficult to use,0
89,Fast delivery and the product works perfectly compared with alternatives,1
90,Delivery was late and the item was damaged,0
91,I am disappointed and would not recommend it overall,0
92,Not worth the price and difficult to use after one month,0
93,"Great value, reliable and well designed overall",1
94,I am satisfied and would recommend this product compared with alternatives,1
95,Fast delivery and the product works perfectly,1
96,Excellent quality and very easy to use compared with alternatives,1
97,Delivery was late and the item was damaged for my needs,0
98,Fast delivery and the product works perfectly overall,1
99,Poor quality and stopped working quickly compared with alternatives,0
100,Delivery was late and the item was damaged after one month,0
101,Support was unhelpful and the experience was frustrating after one month,0
102,Support was unhelpful and the experience was frustrating overall,0
103,Excellent quality and very easy to use after one month,1
